iteration,mean_reward,mean_episode_length,mean_action_noise_std,mean_value_function_loss,mean_surrogate_loss,mean_entropy_loss,computation_steps_per_s,total_timesteps,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,foot_contact_l2,foot_force_var,termination_time_out
0,-0.43,12.04,1.00,1.9855,-0.0152,17.0251,2475,16384,0.0170,0.0002,-0.0012,-0.0060,-0.0000,-0.0120,-0.0008,-0.0008,-0.0041,0.0000,0.1562
1,-0.49,13.03,1.00,0.8994,-0.0067,16.9992,3072,32768,0.0226,0.0003,-0.0017,-0.0086,-0.0000,-0.0168,-0.0011,-0.0012,-0.0057,0.0000,0.0000
5,-0.18,7.99,0.99,0.1354,-0.0142,16.8651,3353,98304,0.0180,0.0003,-0.0014,-0.0062,-0.0000,-0.0122,-0.0008,-0.0009,-0.0043,0.0000,0.0000
10,-0.08,7.10,0.98,0.0525,-0.0069,16.7527,3621,180224,0.0141,0.0002,-0.0011,-0.0038,-0.0000,-0.0073,-0.0005,-0.0004,-0.0030,0.0000,0.0000
20,0.11,5.52,0.93,0.0293,-0.0152,16.1823,4103,344064,0.0140,0.0002,-0.0012,-0.0026,-0.0000,-0.0052,-0.0004,-0.0002,-0.0025,0.0000,0.0000
30,0.19,5.38,0.84,0.0182,-0.0128,14.8879,4610,507904,0.0149,0.0002,-0.0014,-0.0020,-0.0000,-0.0042,-0.0003,-0.0001,-0.0024,0.0000,0.0000
40,0.26,5.56,0.74,0.0159,-0.0133,13.4802,4550,671744,0.0159,0.0002,-0.0015,-0.0018,-0.0000,-0.0036,-0.0003,-0.0001,-0.0024,0.0000,0.0000
50,0.32,6.20,0.65,0.0181,-0.0121,11.8621,4531,835584,0.0182,0.0003,-0.0015,-0.0018,-0.0000,-0.0038,-0.0002,-0.0001,-0.0027,0.0000,0.0000
60,0.46,8.22,0.60,0.0338,-0.0102,10.9267,4531,999424,0.0239,0.0004,-0.0014,-0.0024,-0.0000,-0.0053,-0.0003,-0.0002,-0.0036,0.0000,0.0000
70,0.63,12.74,0.56,0.0335,-0.0138,10.1096,4482,1163264,0.0351,0.0005,-0.0016,-0.0036,-0.0000,-0.0082,-0.0004,-0.0004,-0.0056,0.0000,0.0000
80,0.89,19.96,0.52,0.0575,-0.0101,9.1335,4536,1327104,0.0515,0.0008,-0.0021,-0.0050,-0.0000,-0.0131,-0.0006,-0.0008,-0.0086,0.0000,0.0000
90,1.39,38.80,0.49,0.0933,-0.0128,8.4244,4472,1490944,0.0932,0.0016,-0.0029,-0.0094,-0.0000,-0.0276,-0.0012,-0.0023,-0.0177,0.0000,0.0000
100,3.67,126.43,0.47,0.1357,-0.0110,7.7970,4597,1654784,0.2945,0.0056,-0.0087,-0.0319,-0.0001,-0.0961,-0.0040,-0.0077,-0.0627,0.0000,0.0000
110,6.53,227.07,0.44,0.1202,-0.0099,7.1570,4524,1818624,0.8748,0.0136,-0.0186,-0.0734,-0.0003,-0.2387,-0.0101,-0.0137,-0.1691,0.0000,0.0000
120,7.88,271.77,0.42,0.0757,-0.0082,6.4357,4640,1982464,1.8029,0.0456,-0.0370,-0.1418,-0.0007,-0.6142,-0.0242,-0.0305,-0.3991,0.0000,0.0000
130,9.17,304.81,0.40,0.0744,-0.0109,5.6975,4666,2146304,2.9608,0.0547,-0.0452,-0.1844,-0.0009,-0.6849,-0.0266,-0.0417,-0.4833,0.0000,0.0000
140,11.46,371.59,0.38,0.0732,-0.0110,5.0357,4639,2310144,3.2767,0.0531,-0.0812,-0.2930,-0.0011,-0.8835,-0.0377,-0.0522,-0.6544,0.0000,0.0000
150,13.68,412.74,0.35,0.0521,-0.0101,4.2412,4611,2473984,4.2055,0.0822,-0.0747,-0.2880,-0.0014,-1.1915,-0.0423,-0.0552,-0.7933,0.0000,0.0000
160,100.04,1998.37,0.33,0.0572,-0.0086,3.4667,4577,2637824,5.1068,0.0898,-0.0799,-0.3109,-0.0016,-1.1513,-0.0449,-0.0514,-0.8987,0.0000,1.8125
170,108.16,1979.99,0.31,0.0426,-0.0089,2.6723,4639,2801664,5.0622,0.0902,-0.0724,-0.2780,-0.0016,-1.0565,-0.0419,-0.0424,-0.8995,0.0000,1.0938
180,110.51,1965.86,0.29,0.0343,-0.0105,1.8038,4638,2965504,5.7960,0.1008,-0.0616,-0.2235,-0.0015,-1.0775,-0.0378,-0.0375,-0.8995,0.0000,1.0000
190,110.87,1965.86,0.27,0.0270,-0.0089,0.8693,4660,3129344,5.4536,0.0837,-0.0722,-0.2741,-0.0015,-1.1137,-0.0386,-0.0383,-0.8995,0.0000,1.0000
200,113.71,1965.86,0.25,0.0234,-0.0068,-0.1332,2714,3293184,5.8900,0.0826,-0.0757,-0.2726,-0.0015,-0.9570,-0.0344,-0.0360,-0.8995,0.0000,1.0000
210,115.57,1965.86,0.23,0.0219,-0.0076,-1.0145,2800,3457024,6.4623,0.1006,-0.0620,-0.2100,-0.0015,-0.8288,-0.0304,-0.0293,-0.8995,0.0000,1.0000
220,169.65,1999.00,0.22,0.0175,-0.0087,-1.8414,2755,3620864,6.1002,0.1016,-0.0589,-0.1894,-0.0015,-0.8015,-0.0273,-0.0272,-0.8995,0.0000,2.0625
230,176.42,1999.00,0.20,0.0210,-0.0085,-2.6221,2832,3784704,6.0006,0.1056,-0.0531,-0.1606,-0.0015,-0.7562,-0.0245,-0.0255,-0.8995,0.0000,1.0000
240,178.60,1999.00,0.19,0.0132,-0.0057,-3.3294,2815,3948544,6.6341,0.1061,-0.0563,-0.1573,-0.0014,-0.7200,-0.0226,-0.0228,-0.8995,0.0000,1.0000
250,179.30,1999.00,0.18,0.0128,-0.0082,-4.2760,2847,4112384,6.7342,0.1073,-0.0589,-0.1467,-0.0014,-0.6632,-0.0205,-0.0228,-0.8995,0.0000,1.0000
260,180.01,1999.00,0.17,0.0117,-0.0080,-5.0535,2820,4276224,6.4313,0.1047,-0.0593,-0.1479,-0.0014,-0.6179,-0.0190,-0.0199,-0.8995,0.0000,1.0000
270,180.70,1999.00,0.16,0.0101,-0.0071,-5.8307,2814,4440064,6.8038,0.1146,-0.0598,-0.1345,-0.0014,-0.6816,-0.0180,-0.0177,-0.8995,0.0000,1.0000
280,194.55,1999.00,0.15,0.0105,-0.0077,-6.5961,2802,4603904,6.7199,0.1140,-0.0505,-0.1183,-0.0014,-0.5490,-0.0149,-0.0194,-0.8995,0.0000,1.3750
290,214.80,1999.00,0.14,0.0105,-0.0053,-7.3362,2815,4767744,6.8779,0.1201,-0.0464,-0.1084,-0.0013,-0.5248,-0.0132,-0.0185,-0.8995,0.0000,1.2500
300,215.14,1999.00,0.13,0.0088,-0.0058,-8.0902,2822,4931584,6.7727,0.1170,-0.0556,-0.1186,-0.0013,-0.4386,-0.0117,-0.0200,-0.8995,0.0000,1.0000
310,214.90,1999.00,0.13,0.0093,-0.0067,-8.6680,2884,5095424,6.5389,0.1264,-0.0420,-0.0980,-0.0013,-0.5272,-0.0108,-0.0180,-0.8995,0.0000,1.0000
320,215.33,1999.00,0.12,0.0106,-0.0047,-9.3215,2813,5259264,7.0969,0.1334,-0.0433,-0.0860,-0.0013,-0.4634,-0.0092,-0.0183,-0.8995,0.0000,1.0000
330,216.30,1999.00,0.12,0.0075,-0.0043,-9.9170,2838,5423104,7.2859,0.1255,-0.0489,-0.0892,-0.0012,-0.4135,-0.0084,-0.0187,-0.8995,0.0000,1.0000
340,217.34,1999.00,0.11,0.0072,-0.0053,-10.5776,2821,5586944,7.2451,0.1381,-0.0421,-0.0808,-0.0012,-0.4317,-0.0073,-0.0183,-0.8995,0.0000,1.0000
350,235.26,1999.00,0.11,0.0076,-0.0065,-11.0842,2834,5750784,7.1838,0.1403,-0.0404,-0.0775,-0.0012,-0.4266,-0.0064,-0.0183,-0.8995,0.0000,1.4688
360,238.56,1999.00,0.10,0.0064,-0.0055,-11.5733,2807,5914624,7.4308,0.1514,-0.0356,-0.0696,-0.0011,-0.4231,-0.0056,-0.0182,-0.8995,0.0000,1.0000
370,239.82,1999.00,0.10,0.0055,-0.0055,-12.1003,2857,6078464,7.5275,0.1581,-0.0288,-0.0652,-0.0011,-0.4252,-0.0050,-0.0175,-0.8995,0.0000,1.0000
380,240.41,1999.00,0.10,0.0051,-0.0043,-12.5118,2781,6242304,7.5756,0.1692,-0.0288,-0.0581,-0.0011,-0.3974,-0.0046,-0.0175,-0.8995,0.0000,1.0000
390,240.98,1999.00,0.09,0.0053,-0.0032,-12.9583,2850,6406144,7.4075,0.1552,-0.0425,-0.0671,-0.0011,-0.3789,-0.0046,-0.0200,-0.8995,0.0000,1.0000
400,240.96,1999.00,0.09,0.0047,-0.0034,-13.4428,2827,6569984,7.4105,0.1609,-0.0336,-0.0621,-0.0011,-0.3945,-0.0041,-0.0171,-0.8995,0.0000,1.0000
410,248.17,1999.00,0.09,0.0058,-0.0043,-13.9892,2780,6733824,7.3923,0.1626,-0.0357,-0.0641,-0.0011,-0.3707,-0.0040,-0.0181,-0.8995,0.0000,1.7500
420,249.81,1999.00,0.08,0.0043,-0.0018,-14.4873,2795,6897664,7.5512,0.1683,-0.0320,-0.0595,-0.0011,-0.3401,-0.0037,-0.0174,-0.8995,0.0000,1.0938
430,250.29,1999.00,0.08,0.0046,-0.0029,-14.9349,2835,7061504,7.5441,0.1756,-0.0274,-0.0577,-0.0011,-0.3873,-0.0036,-0.0165,-0.8995,0.0000,1.0000
440,250.43,1999.00,0.08,0.0042,-0.0038,-15.2686,2809,7225344,7.5507,0.1843,-0.0348,-0.0549,-0.0010,-0.3692,-0.0036,-0.0196,-0.8995,0.0000,1.0000
450,250.41,1999.00,0.08,0.0042,-0.0035,-15.6641,2816,7389184,7.5714,0.1700,-0.0434,-0.0636,-0.0010,-0.3455,-0.0037,-0.0200,-0.8995,0.0000,1.0000
460,250.59,1999.00,0.08,0.0039,-0.0021,-15.9972,2795,7553024,7.4852,0.1839,-0.0335,-0.0629,-0.0010,-0.3626,-0.0035,-0.0176,-0.8995,0.0000,1.0000
470,255.58,1999.00,0.07,0.0052,-0.0049,-16.4555,2747,7716864,7.5359,0.1919,-0.0316,-0.0550,-0.0010,-0.3316,-0.0033,-0.0178,-0.8995,0.0000,2.0625
480,256.51,1999.00,0.07,0.0032,-0.0036,-16.8251,2747,7880704,7.5491,0.1992,-0.0277,-0.0527,-0.0010,-0.3396,-0.0031,-0.0169,-0.8995,0.0000,1.0000
490,256.45,1999.00,0.07,0.0035,-0.0033,-17.1257,2827,8044544,7.6382,0.2062,-0.0300,-0.0513,-0.0010,-0.3132,-0.0031,-0.0173,-0.8995,0.0000,1.0000
499,256.27,1999.00,0.07,0.0029,-0.0047,-17.4937,2835,8192000,7.5053,0.1955,-0.0340,-0.0587,-0.0010,-0.2939,-0.0032,-0.0164,-0.8995,0.0000,1.0000
