iteration,mean_reward,mean_episode_length,mean_action_noise_std,mean_value_function_loss,mean_surrogate_loss,mean_entropy_loss,computation_steps_per_s,total_timesteps,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,foot_contact_l2,foot_force_var,termination_time_out
499,-8.42,45.30,0.07,368875.5335,-0.0007,-17.4177,1081,16000,0.0823,0.0012,-0.0245,-0.0392,-0.0001,-0.6635,-0.0032,-0.0048,-0.0105,0.0000,0.0000
500,-15.73,28.61,0.07,52341.2180,-0.0024,-17.3315,2775,32000,0.0514,0.0008,-0.0341,-0.0496,-0.0001,-0.7823,-0.0041,-0.0067,-0.0135,0.0000,0.0000
501,-12.85,36.47,0.08,38924.1045,-0.0031,-17.2104,2680,48000,0.0687,0.0010,-0.0298,-0.0451,-0.0001,-0.7214,-0.0038,-0.0058,-0.0121,0.0000,0.0000
502,-9.21,52.83,0.08,27651.8730,-0.0045,-17.0832,2710,64000,0.0912,0.0014,-0.0256,-0.0407,-0.0001,-0.6543,-0.0035,-0.0051,-0.0108,0.0000,0.0000
503,-6.54,78.15,0.09,18432.5610,-0.0058,-16.9245,2695,80000,0.1245,0.0019,-0.0221,-0.0368,-0.0001,-0.5987,-0.0031,-0.0044,-0.0095,0.0000,0.0000
505,-2.17,142.60,0.10,9876.3420,-0.0072,-16.5871,2720,112000,0.2134,0.0032,-0.0187,-0.0312,-0.0001,-0.5234,-0.0027,-0.0037,-0.0082,0.0000,0.0000
507,3.85,245.32,0.11,5432.1890,-0.0084,-16.1923,2685,144000,0.4521,0.0068,-0.0165,-0.0278,-0.0001,-0.4678,-0.0024,-0.0031,-0.0071,0.0000,0.0000
510,12.47,432.18,0.12,2876.5430,-0.0091,-15.6340,2710,192000,0.8934,0.0124,-0.0148,-0.0245,-0.0001,-0.4123,-0.0021,-0.0028,-0.0063,0.0000,0.0000
513,24.83,687.45,0.13,1543.2180,-0.0098,-15.0127,2735,240000,1.5672,0.0218,-0.0134,-0.0215,-0.0001,-0.3687,-0.0019,-0.0025,-0.0056,0.0000,0.0000
515,38.56,923.71,0.14,987.6540,-0.0103,-14.5834,2700,272000,2.1345,0.0312,-0.0125,-0.0198,-0.0001,-0.3412,-0.0018,-0.0023,-0.0052,0.0000,0.0000
518,56.42,1245.30,0.14,654.3210,-0.0108,-14.0521,2725,320000,2.8721,0.0423,-0.0118,-0.0184,-0.0001,-0.3187,-0.0016,-0.0022,-0.0048,0.0000,0.0000
520,72.34,1487.62,0.15,432.1870,-0.0112,-13.6789,2690,352000,3.4532,0.0534,-0.0112,-0.0172,-0.0001,-0.2987,-0.0015,-0.0021,-0.0045,0.0000,0.0312
523,89.71,1698.45,0.15,287.6540,-0.0105,-13.2345,2715,400000,4.0123,0.0645,-0.0108,-0.0163,-0.0001,-0.2812,-0.0014,-0.0020,-0.0043,0.0000,0.0625
525,102.83,1823.17,0.15,198.4320,-0.0098,-12.8934,2740,432000,4.4567,0.0734,-0.0104,-0.0156,-0.0001,-0.2678,-0.0013,-0.0019,-0.0041,0.0000,0.1250
528,115.47,1912.38,0.15,143.2180,-0.0092,-12.5123,2705,480000,4.8923,0.0823,-0.0101,-0.0148,-0.0001,-0.2534,-0.0013,-0.0018,-0.0039,0.0000,0.2500
530,125.62,1954.81,0.15,108.7650,-0.0087,-12.2345,2730,512000,5.1234,0.0912,-0.0098,-0.0142,-0.0001,-0.2423,-0.0012,-0.0017,-0.0038,0.0000,0.4375
533,136.28,1978.23,0.14,82.4310,-0.0083,-11.9234,2695,560000,5.4567,0.0987,-0.0095,-0.0137,-0.0001,-0.2312,-0.0012,-0.0017,-0.0037,0.0000,0.5625
535,143.91,1989.45,0.14,64.3210,-0.0079,-11.6712,2720,592000,5.6789,0.1034,-0.0093,-0.0133,-0.0001,-0.2234,-0.0011,-0.0016,-0.0036,0.0000,0.6875
538,151.72,1995.12,0.14,48.7650,-0.0075,-11.3845,2710,640000,5.8912,0.1078,-0.0091,-0.0129,-0.0001,-0.2167,-0.0011,-0.0016,-0.0035,0.0000,0.7500
540,157.34,1997.28,0.13,38.4320,-0.0072,-11.1423,2735,672000,6.0345,0.1112,-0.0089,-0.0126,-0.0001,-0.2112,-0.0010,-0.0015,-0.0035,0.0000,0.8125
543,162.18,1998.42,0.13,29.8760,-0.0069,-10.8567,2700,720000,6.1678,0.1145,-0.0087,-0.0123,-0.0001,-0.2067,-0.0010,-0.0015,-0.0034,0.0000,0.8750
545,166.42,1999.00,0.13,23.4510,-0.0066,-10.6234,2725,752000,6.2834,0.1176,-0.0086,-0.0121,-0.0001,-0.2023,-0.0010,-0.0015,-0.0034,0.0000,0.9375
548,170.87,1999.00,0.12,18.2340,-0.0063,-10.3456,2690,800000,6.3912,0.1205,-0.0084,-0.0118,-0.0001,-0.1987,-0.0010,-0.0014,-0.0033,0.0000,1.0000
